Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: File younghee.mem referenced on C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/VGA/QVGA_MemController.sv at line 55 cannot be opened for reading. Please ensure that this file is available in the current working directory.
time	reset	busy	DE	Hsync	Vsync	pixel_clk
                   0	1	x	1	1	1	0
              100000	0	x	1	1	1	0
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(0)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(1)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(2)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
             8860000	0	0	1	1	1	1
             8880000	0	0	1	1	1	0
             8900000	0	0	1	1	1	1
             8920000	0	0	1	1	1	0
             8940000	0	0	1	1	1	1
             8960000	0	0	1	1	1	0
             8980000	0	0	1	1	1	1
             9000000	0	0	1	1	1	0
             9020000	0	0	1	1	1	1
             9040000	0	0	1	1	1	0
             9060000	0	0	1	1	1	1
             9080000	0	0	1	1	1	0
             9100000	0	0	1	1	1	1
             9120000	0	0	1	1	1	0
             9140000	0	0	1	1	1	1
             9160000	0	0	1	1	1	0
             9180000	0	0	1	1	1	1
             9200000	0	0	1	1	1	0
             9220000	0	0	1	1	1	1
             9240000	0	0	1	1	1	0
             9260000	0	0	1	1	1	1
             9280000	0	0	1	1	1	0
             9300000	0	0	1	1	1	1
             9320000	0	0	1	1	1	0
             9340000	0	0	1	1	1	1
             9360000	0	0	1	1	1	0
             9380000	0	0	1	1	1	1
             9400000	0	0	1	1	1	0
             9420000	0	0	1	1	1	1
             9440000	0	0	1	1	1	0
             9460000	0	0	1	1	1	1
             9480000	0	0	1	1	1	0
             9500000	0	0	1	1	1	1
             9520000	0	0	1	1	1	0
             9540000	0	0	1	1	1	1
             9560000	0	0	1	1	1	0
             9580000	0	0	1	1	1	1
             9600000	0	0	1	1	1	0
             9620000	0	0	1	1	1	1
             9640000	0	0	1	1	1	0
             9660000	0	0	1	1	1	1
             9680000	0	0	1	1	1	0
             9700000	0	0	1	1	1	1
             9720000	0	0	1	1	1	0
             9740000	0	0	1	1	1	1
             9760000	0	0	1	1	1	0
             9780000	0	0	1	1	1	1
             9800000	0	0	1	1	1	0
             9820000	0	0	1	1	1	1
             9840000	0	0	1	1	1	0
             9860000	0	0	1	1	1	1
             9880000	0	0	1	1	1	0
             9900000	0	0	1	1	1	1
             9920000	0	0	1	1	1	0
             9940000	0	0	1	1	1	1
             9960000	0	0	1	1	1	0
             9980000	0	0	1	1	1	1
            10000000	0	0	1	1	1	0
            10020000	0	0	1	1	1	1
            10040000	0	0	1	1	1	0
            10060000	0	0	1	1	1	1
            10080000	0	0	1	1	1	0
            10100000	0	0	1	1	1	1
            10120000	0	0	1	1	1	0
            10140000	0	0	1	1	1	1
            10160000	0	0	1	1	1	0
            10180000	0	0	1	1	1	1
            10200000	0	0	1	1	1	0
            10220000	0	0	1	1	1	1
            10240000	0	0	1	1	1	0
            10260000	0	0	1	1	1	1
            10280000	0	0	1	1	1	0
            10300000	0	0	1	1	1	1
            10320000	0	0	1	1	1	0
            10340000	0	0	1	1	1	1
            10360000	0	0	1	1	1	0
            10380000	0	0	1	1	1	1
            10400000	0	0	1	1	1	0
            10420000	0	0	1	1	1	1
            10440000	0	0	1	1	1	0
            10460000	0	0	1	1	1	1
            10480000	0	0	1	1	1	0
            10500000	0	0	1	1	1	1
            10520000	0	0	1	1	1	0
            10540000	0	0	1	1	1	1
            10560000	0	0	1	1	1	0
            10580000	0	0	1	1	1	1
            10600000	0	0	1	1	1	0
            10620000	0	0	1	1	1	1
            10640000	0	0	1	1	1	0
            10660000	0	0	1	1	1	1
            10680000	0	0	1	1	1	0
            10700000	0	0	1	1	1	1
            10720000	0	0	1	1	1	0
            10740000	0	0	1	1	1	1
            10760000	0	0	1	1	1	0
            10780000	0	0	1	1	1	1
            10800000	0	0	1	1	1	0
            10820000	0	0	1	1	1	1
            10840000	0	0	1	1	1	0
            10860000	0	0	1	1	1	1
            10880000	0	0	1	1	1	0
            10900000	0	0	1	1	1	1
            10920000	0	0	1	1	1	0
            10940000	0	0	1	1	1	1
            10960000	0	0	1	1	1	0
            10980000	0	0	1	1	1	1
            11000000	0	0	1	1	1	0
            11020000	0	0	1	1	1	1
            11040000	0	0	1	1	1	0
            11060000	0	0	1	1	1	1
            11080000	0	0	1	1	1	0
            11100000	0	0	1	1	1	1
            11120000	0	0	1	1	1	0
            11140000	0	0	1	1	1	1
            11160000	0	0	1	1	1	0
            11180000	0	0	1	1	1	1
            11200000	0	0	1	1	1	0
            11220000	0	0	1	1	1	1
            11240000	0	0	1	1	1	0
            11260000	0	0	1	1	1	1
            11280000	0	0	1	1	1	0
            11300000	0	0	1	1	1	1
            11320000	0	0	1	1	1	0
            11340000	0	0	1	1	1	1
            11360000	0	0	1	1	1	0
            11380000	0	0	1	1	1	1
            11400000	0	0	1	1	1	0
            11420000	0	0	1	1	1	1
            11440000	0	0	1	1	1	0
            11460000	0	0	1	1	1	1
            11480000	0	0	1	1	1	0
            11500000	0	0	1	1	1	1
            11520000	0	0	1	1	1	0
            11540000	0	0	1	1	1	1
            11560000	0	0	1	1	1	0
            11580000	0	0	1	1	1	1
            11600000	0	0	1	1	1	0
            11620000	0	0	1	1	1	1
            11640000	0	0	1	1	1	0
            11660000	0	0	1	1	1	1
            11680000	0	0	1	1	1	0
            11700000	0	0	1	1	1	1
            11720000	0	0	1	1	1	0
            11740000	0	0	1	1	1	1
            11760000	0	0	1	1	1	0
            11780000	0	0	1	1	1	1
            11800000	0	0	1	1	1	0
            11820000	0	0	1	1	1	1
            11840000	0	0	1	1	1	0
            11860000	0	0	1	1	1	1
            11880000	0	0	1	1	1	0
            11900000	0	0	1	1	1	1
            11920000	0	0	1	1	1	0
            11940000	0	0	1	1	1	1
            11960000	0	0	1	1	1	0
            11980000	0	0	1	1	1	1
            12000000	0	0	1	1	1	0
            12020000	0	0	1	1	1	1
            12040000	0	0	1	1	1	0
            12060000	0	0	1	1	1	1
            12080000	0	0	1	1	1	0
            12100000	0	0	1	1	1	1
            12120000	0	0	1	1	1	0
            12140000	0	0	1	1	1	1
            12160000	0	0	1	1	1	0
            12180000	0	0	1	1	1	1
            12200000	0	0	1	1	1	0
            12220000	0	0	1	1	1	1
            12240000	0	0	1	1	1	0
            12260000	0	0	1	1	1	1
            12280000	0	0	1	1	1	0
            12300000	0	0	1	1	1	1
            12320000	0	0	1	1	1	0
            12340000	0	0	1	1	1	1
            12360000	0	0	1	1	1	0
            12380000	0	0	1	1	1	1
            12400000	0	0	1	1	1	0
            12420000	0	0	1	1	1	1
            12440000	0	0	1	1	1	0
            12460000	0	0	1	1	1	1
            12480000	0	0	1	1	1	0
            12500000	0	0	1	1	1	1
            12520000	0	0	1	1	1	0
            12540000	0	0	1	1	1	1
            12560000	0	0	1	1	1	0
            12580000	0	0	1	1	1	1
            12600000	0	0	1	1	1	0
            12620000	0	0	1	1	1	1
            12640000	0	0	1	1	1	0
            12660000	0	0	1	1	1	1
            12680000	0	0	1	1	1	0
            12700000	0	0	1	1	1	1
            12720000	0	0	1	1	1	0
            12740000	0	0	1	1	1	1
            12760000	0	0	1	1	1	0
            12780000	0	0	1	1	1	1
            12800000	0	0	1	1	1	0
            12820000	0	0	1	1	1	1
            12840000	0	0	1	1	1	0
            12860000	0	0	1	1	1	1
            12880000	0	0	1	1	1	0
            12900000	0	0	1	1	1	1
            12920000	0	0	1	1	1	0
            12940000	0	0	1	1	1	1
            12960000	0	0	1	1	1	0
            12980000	0	0	1	1	1	1
            13000000	0	0	1	1	1	0
            13020000	0	0	1	1	1	1
            13040000	0	0	1	1	1	0
            13060000	0	0	1	1	1	1
            13080000	0	0	1	1	1	0
            13100000	0	0	1	1	1	1
            13120000	0	0	1	1	1	0
            13140000	0	0	1	1	1	1
            13160000	0	0	1	1	1	0
            13180000	0	0	1	1	1	1
            13200000	0	0	1	1	1	0
            13220000	0	0	1	1	1	1
            13240000	0	0	1	1	1	0
            13260000	0	0	1	1	1	1
            13280000	0	0	1	1	1	0
            13300000	0	0	1	1	1	1
            13320000	0	0	1	1	1	0
            13340000	0	0	1	1	1	1
            13360000	0	0	1	1	1	0
            13380000	0	0	1	1	1	1
